hostname,SCSI Bus Number (HBA),LUN Name,Hitachi Product,HDS Product,Serial Number,Port,LUN 0-255,LDEV,Nickname,LDEV type,RAID level,PG,Pool ID,CLPR,Max LBA,Size MB,Size MiB,Size GB,Size GiB,SizeTB,Size TiB,Vendor,Product,Product Revision,SCSI_IOCTL_PROBE_HOST
cb23,2,/dev/sdbu,HM700,HUS VM,210030,1A,0,00:00,,Internal,RAID-1,01-01,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sdde,HM700,HUS VM,210030,1B,0,00:01,,Internal,RAID-1,01-02,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sda,HM700,HUS VM,210030,2A,0,00:02,,Internal,RAID-1,01-03,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdak,HM700,HUS VM,210030,2B,0,00:03,,Internal,RAID-1,01-04,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdbv,HM700,HUS VM,210030,1A,1,00:04,,Internal,RAID-1,01-05,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddf,HM700,HUS VM,210030,1B,1,00:05,,Internal,RAID-1,01-06,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdb,HM700,HUS VM,210030,2A,1,00:06,,Internal,RAID-1,01-07,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdal,HM700,HUS VM,210030,2B,1,00:07,,Internal,RAID-1,01-08,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdbw,HM700,HUS VM,210030,1A,2,00:08,,Internal,RAID-1,01-09,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddg,HM700,HUS VM,210030,1B,2,00:09,,Internal,RAID-1,01-10,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdc,HM700,HUS VM,210030,2A,2,00:0A,,Internal,RAID-1,01-11,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdam,HM700,HUS VM,210030,2B,2,00:0B,,Internal,RAID-1,01-12,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdbx,HM700,HUS VM,210030,1A,3,00:0C,,Internal,RAID-1,01-13,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddh,HM700,HUS VM,210030,1B,3,00:0D,,Internal,RAID-1,01-14,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdd,HM700,HUS VM,210030,2A,3,00:0E,,Internal,RAID-1,01-15,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdan,HM700,HUS VM,210030,2B,3,00:0F,,Internal,RAID-1,01-16,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdby,HM700,HUS VM,210030,1A,4,00:10,,Internal,RAID-1,01-17,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddi,HM700,HUS VM,210030,1B,4,00:11,,Internal,RAID-1,01-18,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sde,HM700,HUS VM,210030,2A,4,00:12,,Internal,RAID-1,01-19,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdao,HM700,HUS VM,210030,2B,4,00:13,,Internal,RAID-1,01-20,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdbz,HM700,HUS VM,210030,1A,5,00:14,,Internal,RAID-1,01-21,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
